Order ID,Year,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Product Name,Sales,Quantity,Discount,Profit
ORD-10000,2024,04-08-2022 00:00,14-08-2022 00:00,Second Class,CUST-1000,Christine Duncan,Home Office,United States,North Aaron,South Dakota,12948,East,PROD-500,Home & Kitchen,Blender,42,3,0.16,9.35
ORD-10001,2022,21-03-2024 00:00,29-03-2024 00:00,First Class,CUST-1001,Jacob Villegas,Home Office,United States,East Richardton,New Jersey,45524,East,PROD-501,Electronics,Laptop,380.25,6,0.45,55.43
ORD-10002,2023,05-03-2023 00:00,11-03-2023 00:00,First Class,CUST-1002,Christine Wall,Home Office,United States,Kennedyshire,New York,89046,South,PROD-502,Clothing,Sneakers,27.63,7,0.49,3.73
ORD-10003,2024,21-03-2023 00:00,27-03-2023 00:00,First Class,CUST-1003,Patrick Rocha,Home Office,United States,Jesseview,Oklahoma,59528,West,PROD-503,Beauty,Perfume,246.51,1,0.44,36.59
ORD-10004,2022,04-05-2022 00:00,10-05-2022 00:00,Standard Class,CUST-1004,Amy Thomas,Home Office,United States,North Beth,Missouri,32127,West,PROD-504,Books,Fiction,471.91,9,0.27,91.3
ORD-10005,2024,02-11-2023 00:00,12-11-2023 00:00,First Class,CUST-1005,Christopher James,Corporate,United States,Turnershire,Oklahoma,52669,Central,PROD-505,Books,Biography,383.08,1,0.22,79.19
ORD-10006,2022,02-01-2023 00:00,10-01-2023 00:00,Same Day,CUST-1006,Nicole Rhodes MD,Home Office,United States,Cookfort,Missouri,7163,East,PROD-506,Books,Fiction,479.97,9,0.15,108.12
ORD-10007,2024,18-08-2022 00:00,27-08-2022 00:00,Second Class,CUST-1007,Christopher Bean,Corporate,United States,West Anthonybury,Montana,30101,East,PROD-507,Home & Kitchen,Microwave,11.9,8,0.01,3.12
ORD-10008,2023,05-09-2022 00:00,14-09-2022 00:00,Second Class,CUST-1008,Sara Baird,Consumer,United States,South Elizabeth,Vermont,88186,West,PROD-508,Home & Kitchen,Toaster,109.48,4,0.49,14.8
ORD-10009,2022,14-02-2023 00:00,19-02-2023 00:00,Second Class,CUST-1009,Kayla Walker,Corporate,United States,Mooreview,Oklahoma,50870,Central,PROD-509,Books,Science Fiction,433.97,7,0.45,63.26
ORD-10010,2024,14-03-2023 00:00,17-03-2023 00:00,First Class,CUST-1010,Karen Stout,Consumer,United States,Ralphtown,West Virginia,83305,South,PROD-510,Electronics,Tablet,209.49,3,0.08,51.08
ORD-10011,2022,18-08-2023 00:00,26-08-2023 00:00,First Class,CUST-1011,Carl Walter,Home Office,United States,West Tamara,Oregon,92042,West,PROD-511,Home & Kitchen,Toaster,325.12,8,0.16,72.38
ORD-10012,2022,15-11-2024 00:00,20-11-2024 00:00,Second Class,CUST-1012,Jason Garza,Home Office,United States,New Robin,Missouri,4008,South,PROD-512,Books,Fiction,265.44,6,0.04,67.53
ORD-10013,2024,25-12-2022 00:00,29-12-2022 00:00,Same Day,CUST-1013,Elizabeth Perez,Consumer,United States,Hayesmouth,New York,42695,West,PROD-513,Beauty,Shampoo,292.45,9,0.39,47.28
ORD-10014,2023,21-05-2022 00:00,27-05-2022 00:00,Second Class,CUST-1014,Nicholas Nelson,Corporate,United States,New David,Utah,75958,South,PROD-514,Clothing,Hat,157.34,5,0.36,26.69
ORD-10015,2022,11-05-2022 00:00,13-05-2022 00:00,Same Day,CUST-1015,Heidi Powell,Home Office,United States,Whitebury,Illinois,81365,South,PROD-515,Beauty,Shampoo,99.88,5,0.06,24.88
ORD-10016,2024,23-02-2023 00:00,26-02-2023 00:00,Same Day,CUST-1016,Alan Glass,Corporate,United States,North Ryanborough,Alabama,7100,East,PROD-516,Books,Biography,95.99,3,0.12,22.39
ORD-10017,2023,22-06-2023 00:00,02-07-2023 00:00,Same Day,CUST-1017,Drew Smith,Consumer,United States,Port Frankmouth,Mississippi,14138,West,PROD-517,Home & Kitchen,Microwave,305.12,5,0.48,42.05
ORD-10018,2024,31-08-2023 00:00,10-09-2023 00:00,Standard Class,CUST-1018,Megan Brown,Home Office,United States,East Joelland,New Jersey,24823,Central,PROD-518,Electronics,Headphones,76.21,5,0.36,12.93
ORD-10019,2024,24-09-2022 00:00,30-09-2022 00:00,Second Class,CUST-1019,James Woodward,Home Office,United States,North Sethtown,Minnesota,87731,East,PROD-519,Electronics,Smartwatch,228.69,6,0.27,44.24
ORD-10020,2023,01-01-2024 00:00,03-01-2024 00:00,First Class,CUST-1020,Caitlin Goodman,Corporate,United States,East Matthewport,Texas,39333,Central,PROD-520,Home & Kitchen,Vacuum Cleaner,385.86,2,0.15,86.92
ORD-10021,2024,30-09-2022 00:00,03-10-2022 00:00,Standard Class,CUST-1021,John Ward,Corporate,United States,Mckenzieton,Texas,22729,East,PROD-521,Electronics,Headphones,407.93,4,0.17,89.73
ORD-10022,2023,26-09-2022 00:00,02-10-2022 00:00,Standard Class,CUST-1022,April Davis,Home Office,United States,North Joseph,Montana,94449,West,PROD-522,Beauty,Perfume,73.09,9,0.12,17.05
ORD-10023,2023,23-11-2022 00:00,27-11-2022 00:00,Same Day,CUST-1023,Philip Hernandez,Consumer,United States,Scottland,Washington,92110,Central,PROD-523,Books,Non-Fiction,267.65,7,0.14,61
ORD-10024,2023,31-08-2022 00:00,04-09-2022 00:00,Same Day,CUST-1024,Christine Campbell,Home Office,United States,Mikaylafurt,Massachusetts,62925,Central,PROD-524,Beauty,Shampoo,276.98,9,0.3,51.38
ORD-10025,2023,14-10-2023 00:00,17-10-2023 00:00,Standard Class,CUST-1025,Robert White,Home Office,United States,North Jack,Pennsylvania,85732,South,PROD-525,Electronics,Smartphone,267.58,2,0.03,68.79
ORD-10026,2022,28-05-2023 00:00,31-05-2023 00:00,First Class,CUST-1026,Frank Velasquez,Consumer,United States,Perezmouth,Kentucky,95900,East,PROD-526,Clothing,Jacket,260.53,8,0.02,67.67
ORD-10027,2023,29-12-2023 00:00,30-12-2023 00:00,Second Class,CUST-1027,Joshua White,Corporate,United States,Millerport,New York,62392,Central,PROD-527,Clothing,Hat,465.01,5,0.32,83.8
ORD-10028,2023,23-12-2022 00:00,24-12-2022 00:00,Standard Class,CUST-1028,Ronald Silva,Corporate,United States,West Erinburgh,Maryland,7324,East,PROD-528,Books,Biography,71.6,2,0.44,10.63
ORD-10029,2022,25-04-2023 00:00,03-05-2023 00:00,First Class,CUST-1029,Lisa Le,Consumer,United States,Smithside,Georgia,14326,South,PROD-529,Beauty,Lipstick,265.42,9,0.43,40.1
ORD-10030,2024,12-09-2023 00:00,17-09-2023 00:00,Standard Class,CUST-1030,Brian Scott,Corporate,United States,Robinborough,Massachusetts,17756,West,PROD-530,Home & Kitchen,Coffee Maker,429.93,3,0.39,69.5
ORD-10031,2022,31-01-2023 00:00,10-02-2023 00:00,Second Class,CUST-1031,Pamela Gonzalez,Corporate,United States,Johnsonburgh,South Carolina,80821,South,PROD-531,Books,Fiction,328.43,3,0.19,70.5
ORD-10032,2022,15-02-2023 00:00,21-02-2023 00:00,Second Class,CUST-1032,Katherine Welch,Corporate,United States,Lake Annahaven,South Dakota,71857,West,PROD-532,Electronics,Smartphone,181.62,2,0.22,37.54
ORD-10033,2024,13-12-2023 00:00,19-12-2023 00:00,Second Class,CUST-1033,Kristen Sanders,Consumer,United States,Loriside,Minnesota,3914,South,PROD-533,Books,Biography,459.85,5,0.09,110.9
ORD-10034,2022,15-07-2024 00:00,17-07-2024 00:00,Second Class,CUST-1034,Anthony Phillips,Home Office,United States,Elizabethmouth,Kansas,32016,East,PROD-534,Home & Kitchen,Microwave,132.83,2,0.17,29.22
ORD-10035,2022,29-10-2023 00:00,06-11-2023 00:00,Standard Class,CUST-1035,Amanda Wiley,Consumer,United States,Mathewsfurt,Virginia,10246,South,PROD-535,Home & Kitchen,Coffee Maker,157.25,9,0.5,20.84
ORD-10036,2024,11-01-2023 00:00,14-01-2023 00:00,Standard Class,CUST-1036,Lisa Franklin,Consumer,United States,Lanceville,Oklahoma,89945,East,PROD-536,Clothing,Jacket,243.36,5,0.41,38.05
ORD-10037,2022,19-09-2022 00:00,29-09-2022 00:00,Second Class,CUST-1037,Kathryn Richards,Consumer,United States,Chanbury,Florida,90406,South,PROD-537,Electronics,Smartwatch,391.05,6,0.19,83.95
ORD-10038,2023,12-10-2024 00:00,21-10-2024 00:00,First Class,CUST-1038,Jennifer Hunt,Corporate,United States,Reedborough,Maryland,62969,West,PROD-538,Electronics,Smartwatch,308.39,8,0.19,66.2
ORD-10039,2023,06-03-2022 00:00,16-03-2022 00:00,Standard Class,CUST-1039,James Smith,Corporate,United States,Alexandrabury,Maryland,62032,West,PROD-539,Home & Kitchen,Coffee Maker,189.03,7,0.01,49.6
ORD-10040,2023,02-08-2023 00:00,05-08-2023 00:00,First Class,CUST-1040,Kathy Mitchell,Corporate,United States,Johnsonfurt,Nevada,15605,Central,PROD-540,Books,Biography,105.39,6,0.13,24.3
ORD-10041,2024,13-04-2024 00:00,19-04-2024 00:00,Second Class,CUST-1041,Julie Clayton,Home Office,United States,Amyfurt,Hawaii,50677,West,PROD-541,Books,Science Fiction,44.81,7,0.14,10.21
ORD-10042,2024,21-12-2024 00:00,29-12-2024 00:00,Second Class,CUST-1042,Vanessa Ramirez,Home Office,United States,Williammouth,Michigan,29796,West,PROD-542,Beauty,Mascara,296.05,2,0.48,40.8
ORD-10043,2022,05-05-2024 00:00,07-05-2024 00:00,Standard Class,CUST-1043,Rebecca Soto,Corporate,United States,Johnsonton,Florida,62234,Central,PROD-543,Books,Science Fiction,115.57,9,0.27,22.36
ORD-10044,2023,07-03-2024 00:00,17-03-2024 00:00,First Class,CUST-1044,Jeremy Rose,Corporate,United States,Millsstad,Maine,46323,East,PROD-544,Electronics,Headphones,25.29,7,0.09,6.1
ORD-10045,2022,27-11-2024 00:00,06-12-2024 00:00,Second Class,CUST-1045,Richard Gomez,Consumer,United States,North Elizabeth,Wyoming,39936,West,PROD-545,Clothing,T-shirt,300.13,8,0.41,46.93
ORD-10046,2024,25-11-2023 00:00,28-11-2023 00:00,Same Day,CUST-1046,Russell Hayden,Home Office,United States,Lake Sarahton,Nebraska,98492,South,PROD-546,Books,Science Fiction,284.42,3,0.02,73.87
ORD-10047,2023,30-07-2024 00:00,07-08-2024 00:00,Standard Class,CUST-1047,Kayla Brewer,Home Office,United States,Bennettberg,Minnesota,83859,East,PROD-547,Books,Biography,80.8,7,0.19,17.35
ORD-10048,2023,05-11-2022 00:00,12-11-2022 00:00,Standard Class,CUST-1048,Latasha Mathis,Consumer,United States,North Tylerstad,Mississippi,48210,West,PROD-548,Home & Kitchen,Microwave,377.81,2,0.39,61.08
ORD-10049,2022,07-04-2024 00:00,08-04-2024 00:00,Same Day,CUST-1049,Alan Flores,Corporate,United States,New Tammy,Tennessee,51515,South,PROD-549,Electronics,Laptop,177.42,4,0.36,30.09
ORD-10050,2023,18-03-2022 00:00,21-03-2022 00:00,First Class,CUST-1050,Kayla Shields,Home Office,United States,Audreyside,Maine,11184,East,PROD-550,Clothing,T-shirt,291.35,7,0.23,59.46
ORD-10051,2023,23-10-2023 00:00,28-10-2023 00:00,Second Class,CUST-1051,Joshua Logan,Home Office,United States,North Reginaton,Ohio,86808,East,PROD-551,Beauty,Lipstick,420.14,3,0.05,105.78
ORD-10052,2024,11-09-2024 00:00,19-09-2024 00:00,Standard Class,CUST-1052,Shannon Mcguire,Consumer,United States,East Patricia,Oklahoma,7552,Central,PROD-552,Home & Kitchen,Microwave,343.08,3,0.3,63.65
